"ID","year","region","gender","agegroup","population","d_log_CVD_mort_100k","d_CVD_mort_100k","d_log_CVD_costs_100k","d_CVD_costs_100k","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","d_log_cancer_costs_100k","d_cancer_costs_100k","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"404","2010","BB","Female","1-14",130952,NA,0,-0.0145343763837005,-4946.52506529348,0.127887992436559,41153.9241936707,0,0,NA,NA,NA,NA
"404","2011","BB","Female","1-14",132813,NA,2.3,-0.291413089701321,-85410.0581706068,-0.0145343763837005,-4946.52506529348,0,0,NA,NA,NA,NA
"404","2012","BB","Female","1-14",133333,NA,-2.3,0.278523809498694,81083.1598583706,-0.291413089701321,-85410.0581706068,NA,-0.8,NA,NA,NA,NA
"404","2013","BB","Female","1-14",134921,NA,0,0.0950400534206963,33254.7694506757,0.278523809498694,81083.1598583706,NA,2.2,NA,NA,NA,NA
"404","2014","BB","Female","1-14",136364,NA,0,-0.103711602080335,-36134.561770839,0.0950400534206963,33254.7694506757,0.276253376628158,0.7,-0.192868112704152,-152448.366321967,NA,NA
"404","2015","BB","Female","1-14",139130,NA,0.7,0.0882633983189418,30511.8051005995,-0.103711602080335,-36134.561770839,0,0,0.141906096891979,109266.884505044,-0.192868112704152,-152448.366321967
"404","2016","BB","Female","1-14",142857,NA,-0.7,0.0235530841317022,8607.65310127847,0.0882633983189418,30511.8051005995,-1.42138568093116,-2.2,-0.0102310874289326,-8406.97438577714,0.141906096891979,109266.884505044
"404","2017","BB","Female","1-14",145833,NA,0.7,-0.191630202693673,-64484.8533647077,0.0235530841317022,8607.65310127847,NA,-0.7,-0.0833613761962066,-65385.7795371875,-0.0102310874289326,-8406.97438577714
"405","2007","BB","Female","15-19",72539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","2008","BB","Female","15-19",62147,0.133531392624523,0.2,-0.129144593457278,-94283.6070544472,NA,NA,NA,-1.4,0.401181181269115,245179.000201037,NA,NA
"405","2009","BB","Female","15-19",52381,0.171850256926659,0.3,0.660153765438329,639540.649118925,-0.129144593457278,-94283.6070544472,NA,5.7,0.0684041893897689,52525.5645371859,0.401181181269115,245179.000201037
"405","2010","BB","Female","15-19",44199,0.191055236762709,0.4,-0.244365752025498,-286928.024336327,0.660153765438329,639540.649118925,-0.907557051905401,-3.4,-0.18802311411728,-136169.305197049,0.0684041893897689,52525.5645371859
"405","2011","BB","Female","15-19",39370,NA,-2.3,-0.379545917464238,-327370.74173579,-0.244365752025498,-286928.024336327,0.0833816089390512,0.2,-0.308807881606032,-174886.225902371,-0.18802311411728,-136169.305197049
"405","2012","BB","Female","15-19",39474,NA,0,0.373599210709775,321224.98880497,-0.379545917464238,-327370.74173579,0.712949807856125,2.6,0.653341634773511,445650.873207469,-0.308807881606032,-174886.225902371
